,U/V,W/mW,,,,
,0,3.10,,,,
,10,3.21,,,,
,20,3.25,,,,
,30,3.19,,,,
,40,3.12,,,,
,50,3.08,,,,
,60,2.98,,,,
,70,2.94,,,,
,80,2.90,,,,
,90,2.85,,,,
,100,2.81,,,,
,110,2.76,,,,
,120,2.68,,,,
,130,2.56,,,,
,140,2.45,,,,
,150,2.33,,,,
,160,2.21,,,,
,170,2.06,,,,
,180,1.90,,,,
,190,1.78,,,,
,200,1.67,,,,
,210,1.57,,,,
,220,1.48,,,,
,230,1.39,,,,
,240,1.32,,,,
,250,1.21,,,,
,260,1.08,,,,
,270,1.02,,,,
,280,0.95,,,,
,290,0.89,,,,
,300,0.84,,,,
,310,0.76,,,,
,320,0.68,,,,
,330,0.58,,,,
,340,0.48,,,,
,350,0.39,,,,
,360,0.32,,,,
,370,0.25,,,,
,380,0.20,,,,
,390,0.17,,,,
,400,0.15,,,,
,410,0.14,,,,
,420,0.14,,,,
,430,0.16,,,,
,440,0.19,,,,
,450,0.23,,,,
,460,0.28,,,,
,470,0.34,,,,
,480,0.40,,,,
,490,0.47,,,,
,500,0.55,,,,
,510,0.65,,,,
,520,0.76,,,,
,530,0.87,,,,
,540,0.99,,,,
,550,1.09,,,,
,560,1.22,,,,
,570,1.39,,,,
,580,1.50,,,,
,590,1.60,,,,
,600,1.71,,,,
,610,1.82,,,,
,620,1.92,,,,
,630,2.01,,,,
,640,2.10,,,,
,650,2.21,,,,
,660,2.32,,,,
,670,2.42,,,,
,680,2.50,,,,
,690,2.55,,,,
,700,2.57,,,,
,710,2.67,,,,
,720,2.79,,,,
,730,2.86,,,,
,740,2.94,,,,
,750,3.01,,,,
,760,3.13,,,,
,770,3.25,,,,
,780,3.40,,,,
,790,3.46,,,,
,800,3.47,,,,
,810,3.45,,,,
,820,3.37,,,,
,830,3.30,,,,
,840,3.21,,,,
,850,3.10,,,,
,860,3.03,,,,
,870,2.96,,,,
,880,2.85,,,,
,890,2.78,,,,
,900,2.73,,,,
,910,2.66,,,,
,920,2.57,,,,
,930,2.47,,,,
,940,2.37,,,,
,950,2.25,,,,
,960,2.14,,,,
,970,2.02,,,,
,980,1.87,,,,
,990,1.76,,,,
,1000,1.67,,,,
,1010,1.61,,,,
,1020,1.48,,,,
,1030,1.31,,,,
,1040,1.20,,,,
,1050,1.08,,,,
,1060,0.95,,,,
,1070,0.80,,,,
,1080,0.60,,,,
,1090,0.51,,,,
,1100,0.42,,,,
,1110,0.36,,,,
,1120,0.31,,,,
,1130,0.27,,,,
,1140,0.23,,,,
,1150,0.20,,,,
,1160,0.17,,,,
,1170,0.15,,,,
,1180,0.14,,,,
,1190,0.15,,,,
,1200,0.16,,,,
,1210,0.18,,,,
,1220,0.21,,,,
,1230,0.25,,,,
,1240,0.31,,,,
,1250,0.37,,,,
,1260,0.47,,,,
,1270,0.57,,,,
,1280,0.71,,,,
,1290,0.88,,,,
,1300,1.01,,,,
,1310,1.13,,,,
,1320,1.23,,,,
,1330,1.31,,,,
,1340,1.38,,,,
,1350,1.47,,,,
,1360,1.57,,,,
,1370,1.68,,,,
,1380,1.81,,,,
,1390,1.92,,,,
,1400,2.01,,,,
,1410,2.12,,,,
,1420,2.34,,,,
,1430,2.60,,,,
,1440,2.77,,,,
,1450,2.86,,,,
,1460,2.84,,,,
,1470,2.72,,,,
,1480,2.83,,,,
,1490,2.93,,,,